id,tweet,emotion
1929,Kinda wished I watched mischievous kiss before playful kiss,joy
4049,When you forget to mention you were bought dreamboys tickets 🙄😂,anger
5405,@FreyaLynn @donniewahlberg yep! jimmy buffett FTW!!!... jimmy needs to tweet his words of wisdom every morning,neutral
5900,"@philcampbell blue skies? where, it's still grey and hazy out of my window",neutral
3712,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice  #sadness,anger
2065,Do what makes you successful and #happy now and forever,joy
5631,@curligirl morning hon. what you having for breakfast? I cant decide,neutral
118,Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,sadness
522,"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",sadness
5897,Someone make me a cofffeeeeeee......,neutral
4070,@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion 🙈😂😂,anger
476,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing,sadness
2662,"@esanderc @MrsFridayNext It is very specific areas only. I care like 0% about clothes, much to my mother's dismay.",fear
847,"@AdamAaronovich Well, there's no need to sulk. You can always request a song, you know.",sadness
4698,oh these old things on my face? nah they're not tears from school related anger and frustration nope never,anger
1537,@Steeeevie_ breezy luvvvv,joy
1270,Watch this amazing live.ly broadcast by @brooke_bridges #lively #musically,joy
4255,The outrage over Kessel's tweet by butthurt USA players is hilarious.,anger
4962,got GREATscores. i'm off a while for exam yeaps.,neutral
937,The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,sadness
937,The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,sadness
4500,Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡,anger
1184,"Learning to trust God can quiet a troubled &amp; restless heart, bring peace to a weary soul, &amp; eliminate the hopelessness that #addiction is!",sadness
2174,"You got some dick recently right, you're happy, you're not sick and you're smiling. Life is good' 😭😭😭",joy
541,And with rich Fumes his sullen sences cheer'd.,sadness
2865,"@AlamRahman today which can impact the signal, I'm afraid :-( Our engineers are working to have this resolved by this evening and you'll",fear
626,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩,sadness
301,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,sadness
3891,@Austin4evaLEEDS fuming!,anger
4911,@stepherann....if you see Christoph please tell his lunch was packed this morning and he left it in the fridge,neutral
4344,The sun literally burning my skin,anger
5359,It smells badly of garlic,neutral
2823,"Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone",fear
2218,Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning...  #books #reading,joy
5268,I used to have a remote for my tv.,neutral
2327,@MaureenKamash that's a good question. I really don't know. I am slowly losing my optimism,joy
1924,Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n #bizitalk #bizhour #southyorkshire #MansfieldHour  #sheffieldHour #NottsHour,joy
3990,@DonnyMurray I'm just no offended by stuff.We're gettin a situ where folk moan about the Polis/SNP but then happy to snitch when offended...,anger
4936,"@alexandrakeller Haha, yeah. It was here and there before but now it's constant",neutral
4641,@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!,anger
1144,Baaarissshhhhh + sad song =  prefect night — feeling alone,sadness
5694,@hannahdevonne Follow both because I don't know which one will send it. PS Dont get your hopes up because she may not sen it,neutral
3685,I love when people say they aren't racist right before they say some racist shit... Not how that works...,anger
3050,@RobdotThom @sulphurhoops in fact they need to start making all holidays! Maybe even e dry month pick a theme so we can have them all year,fear
5130,Y CANT WE ALL JUST GET ALONG,neutral
3488,We're very busy #coding a whole network manager for #unity3d based on #steamworks networking. #gamedev #indiedev #3amDeadTime #horror #game,fear
3682,@johnmerro1 @Liberobility still bitter about last night lads 😂,anger
2871,That goes the,fear
2150,I feel like one of my friends brought this freshmen in my class over to pre game earlier in the year bc she keeps smiling at me,joy
424,I don't want perfect. It's too boring and dull.,sadness
111,My heads still in Ibiza but my body is sat at me desk at work #depressing,sadness
4375,These #NewEnglandPatriots jerseys look like some whack ones that you tried to make when you made custom jerseys on #madden  04,anger
2774,I know this is going to be one of those nights where it takes an Act of God to fall asleep.,fear
373,@Tanzynia sadly David D is no longer with us imagine both together wow,sadness
1813,Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife  #love #hardworkpaysoff #fun,joy
2030,"@Nekudere oh ok, yeah I felt dumb like I think I would have known if it was animated at least lmao",joy
2725,"@carl_diggler @TMZ_Sports Thank you for saying what others are afraid to say, Carl. Big fan!",fear
2595,Time for some despair #SDR3  #fuckthisanime,fear
2802,Nawaz Sharif's UN should start #सत्य_बोध_यात्रा as after all his #UNGA speech has awaken the world about their role in sponsoring #terrorism,fear
1717,"Whether you are rejoicing or fighting back tears, God wants to share the moment with you.",joy
5867,RAIN!!!!!!!!!!!! AAAAAAAAAAHHHHHHHH! i'm gonna melt. damn it's cold. freakin cold.  brrrrrr,neutral
3509, ughh I just want all this to be over.. it's like a nightmare! can we all just get along?,fear
2687,The irony in that last is that Republicans - more likely to watch Fox News - distrust the news media more. Yet they can't see Fox's lies!,fear
4916,IBood DOWN,neutral
2287,"Haven't yet read why Dutch drivers are so happy, but here's my theory: because they could quit driving and still have great transpo options.",joy
2831,when people hit on me i try to shake them off by talking about how i hide from communism,fear
2181,Happy Birthday @Brooke56_56  #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,joy
2713,When you just want all the attention #cantsleep #nervous,fear
5517,"@JonathanRKnight so, how long have you been at the airport? can you smoke inside a bar or somehting?  would SUK to do security again, lol",neutral
4348,@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone,anger
2121,"But the lady at the store said I had nice eyelashes so that's good, right? #optimism? @verizon",joy
648,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,sadness
2330,Class is canceled due to a funeral. Not sure if it's appropriate to be happy or sad..,joy
784,"hmm somehow twitter feels really depressing, more like negative today...I think I missed something 😕",sadness
3026,"@BBCNews 😝 scared of their own horror story they wrote, afraid of the #terror they spread, will #europe start WW3 in 2017 anniversary of WW1",fear
3757,pressure does burst pipes 😭,anger
963,@Bietron 🤓 dont be sad.. btw good night davina..go sleep larh..,sadness
1639,And girl I love your perfume there's something bout you 🎧,joy
5373,back to br,neutral
5467,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,neutral
727,@rockcock64 cum and despair,sadness
3542,"Just heard what happen at grandad hometown last night such a terrible news 💔, hope everyone okay 😢",fear
3189,@peacexxanna your nightmare,fear
4784,"@kitanoye Hell is hot and boiling, isi ewu",anger
4339,"@HebertofNH any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",anger
3199,No @Chrishilly1987 for MOS 😡  #shocking Leads from the front 💪🏻,fear
2670,something incredibly terrible about my life is i'm 23 years old and still suffering through group projects..........,fear
392,@seantkin @coachella @RomanDanielsXXX @kodyknightXXX I see my 'eliminate the hanging tongue' campaign is a dismal failure.,sadness
1370,"@my2k aaa Cam animated that, so proud of our boy",joy
5127,@djcoombs not at my workplace.   but a short-sleeved shirt is absolutely necessary today!,neutral
310,@raylewis name change Uncle Remus Lewis #foh #theydontlikeyoueither #lost #unwoke,sadness
892,Some of these people at this protest are just there for the adrenaline rush. #depressing,sadness
4228,@eMilsOnWheels I'm furious 😩😩😩,anger
2822,"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡",fear
4202,"This anger inside I turned to fuel, I burned and watched myself spin down, like inferno types,",anger
5167,"That seized bolt, ya it's still stuck! The bushing is actually seized to the bolt, very very lame   Perhaps some heat will work?",neutral
2614,A shy failure is nobler than an immodest success.,fear
2091,@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday #smile,joy
503,Not a great start but good comeback from the boys to earn a point. Bring on Saturday #blues,sadness
5097,http://twitpic.com/66shw - Just took this for class just 5 minutes ago its awsome being here too bad i graduate next year,neutral
1302,"Accept the challenges, so that you may feel the exhilaration of victory.",joy
922,"Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.",sadness
3292,"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",fear
3297,"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear
4610,@jessebwatters lol. Love it when you aggravate Juan. Keep up the good work. Lol,anger
144,@emorottie true sonicsatam was serious and a bit dark. Aosth is like super goofy and Looney toonie to a degree,sadness
3903,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!!,anger
1587,#twd comes on soon #happy,joy
1209,@aradsliff don't know I'm from nj we are the worst on purpose.,joy
5543,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!,neutral
3087,petrify  me in the fossil type of way,fear
4019,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,anger
4468,"Didn't think Cadres not Getting SRC deployment would make some Cadres so bitter, Ku tough Macom.",anger
3416,@HoustonTexans just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do... #sike #losers,fear
4243,When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger
3047,We express our deep concern about the suspension of   @MohammedSomaa01  please reactivate it. he never violated T.roles @Support,fear
4550,I am just so bitter today 😐,anger
4853,@MrYungKL smH daTs whacK,neutral
2724,#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear
4667,My husband found out there are other rabid hockey fans like me as we waited in line 4 of the 6 window stickers were for SJ NHL/AHL hockey.,anger
1019,Nothings #Working-you're feeling your life's on The Edge_Could go either way #lost all reason for #Living-JesusChristHealsSavesASK #fatloss,sadness
5628,@ubudroi I *know*. It just took us that long to get around to it! Yes they do takeaway *and*seafood delivery. Forgot to get a menu,neutral
3432,"@CNN Wait, didn't she get a case of the ass when Donald Trump called it terrorism BEFORE all the facts were in?  I guess it's ok if she does",fear
4944,@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite,neutral
256,Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,sadness
845,"After 3 idk why I start feeling so depress, sad and lonely.",sadness
1573,"@doubtcaspar babe :(( remember I'm ALWAYS here if u need a little cheering up or talk, ily lots💘",joy
3313,@ChrisChristie You have no Police credentials-You were a litigator. Nothing more-No Experience.#Sad #TrumpPuppet #Felon #bully #jersey4sale,fear
980,"@Jinath_Hyder I can't have alcohol on it, sadly, but it only flares up under very specific circumstances so I just need to be more careful",sadness
3307,i've been rooting for him since the beginning #anxiety #BB18,fear
1654,Hearing your parent say they're proud of you elicits infinite waves of unconceivable glee.,joy
5729,@gemmie_mit_glee It is confusing and flippin expensive,neutral
3635,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger
3680,"@RichardHBell Yes, I think he held a grudge ...",anger
157,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable,sadness
3544,Democracy doesn't work\n#mob #mentality #mass #hysteria #fear #mongering #oligarchy,fear
2202,"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny #lol",joy
2592,@MrsCassonC @15_jordyn WAS THERE A CLOWN IN YOUR NEIGHBORHOOD? #nightmare #creepy #EnoughIsEnough,fear
2933,I feel like I am drowning. #depression  #falure #worthless,fear
2835,"If you truly want more of God in your life, it requires letting go of some of the old things, to allow new things to flourish. #stop #start",fear
5379,Thinking of making a Google Wave wordpress plugin in the next months... Really want to test it,neutral
1863,"I mean, is she supposed to seem joyous when she's talking Rodrigo Duterte, ISIS, the American economy, etc.? Think about what you're saying.",joy
4149,"@BIGGKATZ BUT arms (focused rage) is overpowered, it will be getting nerfed. It'll still be stronger than fury though",anger
485,@The40Bar See you all October 8th. @WreckinSO is ready to tear it up #keeptalkin #wreckinso #the40 #brandonmanitoba #country #rock #blues,sadness
19,"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside.  #anxiety #anxietyprobz",sadness
52,"oh, btw - after a 6 month depression-free time I got a relapse now... superb",sadness
2071,"To insure good health: Eat lightly, breathe deeply, live moderately, cultivate cheerfulness, and maintain an interest in life.",joy
2573,"#bestadvice from a #movienight, pickup the #phone &amp; #start dialing, no1 will knw a #startups #product #service if thy dnt tell the #world",fear
4521,@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger
2946,"@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.",fear
1060,We can't even grieve over one black body before another one pops up due to pig brutality,sadness
3192,#Trends thread;'P)..it was in my #drafts&amp;now #posted 2 mins after my #birthday..so #close:'O!:''/...but anyway it #really was the #start of,fear
5372,At the dentist. I have a hole in my tooth,neutral
3049,jesus ok an alarming percentage of my teachers ths year dont have a  s ingle thoughtful bone in their bodies . its gonna b an interesting yr,fear
2323,"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov  #quote",joy
932,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired,sadness
2601,in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,fear
2548,"Yo Yo Yo,my name is #DarthVader \nI feel like I need to puff on my inhaler (I'm no rapper but that was some sick bars) #breathless #bars #rap",fear
3280,Research has determined 70% of #laughter is actually .,fear
4370,the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap 🤗,anger
5134,it says not in stock,neutral
2443,#BB18 Michelle crying  again #shocking #bitter He's  just not that into you 😢#TeamNicole,fear
4571,@BearGrylls for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover?,anger
4872,If I were a transformer... I'd step on people just to hear them *squoosh*. But I'm not so I guess I'll just have a cup of coffee instead.,neutral
5244,"@3stripe yeah, still waitin'",neutral
233,@BoardEveryday @turnorder @pinchback21 80s new wave/techno - or jazz / blues depending my mood,sadness
3674,"@SonOfTheDovah *She could sense the anger stirring within him and took his hand in hers.* As long as we stay together, we'll both be safe.--",anger
971,Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,sadness
164,Finished writing my second book tonight. #somber #sad #youpromised #havemercy #author #writer #needpublisher #beingedited #workingonsidebook,sadness
3950,@luxbet Did you even give out any pizzas ? Serious fail #hungry  #hangry,anger
1613,@mywrldsbl I can be your wolf if you want. Hihi~ #breezy,joy
5250,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer,neutral
5616,why am i so tired?,neutral
4539,@GarthJennings loved #sing #tiff but 1 q there is 1 japanese line but obviously spoken by non japanese. no way to find japanese for 1 line?,anger
4880,@Zanti1 Are you guys gonna get the metal detector from the Brickmans? I saw Chad ask Davey on FB. Sorry 'bout your ring,neutral
521,ya boy gets mad tired of pine trees,sadness
5196,At ihop with the besties..minus one  where's the dr.???? At work of course,neutral
2098,@xiankiefer @TheLincoln Book 5! It's so sprightly &amp; fun cuz he'd been reinvigorated by the Harry Potter series. I'm not kidding.,joy
2633,"David's #anxiety is going to send him home. As someone who also suffers, learning to look normal is an essential coping skill. #survivor",fear
4673,"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger
2746,"# ISIS REFERENCES SCRUBBED?  Federal complaint against suspect in NYC, NJ bombings appears to omit terror names in bloody journ...  #news",fear
656,"life is hard., its harder if ur stupid #life #love  #sadderness #moreofsad #howdoestears #whatislife",sadness
2183,@TChudhry @fasiranjha lol @ ur caste. even if the whole village dies.. a massali like you cant be a chaudhry:) so cheer up massali :),joy
5388,@OwenGreaves I've given the $19.99 question more thought. U may be right. One host provides HD quality to all viewers? Maybe not.,neutral
1501,My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!!,joy
2759,@NativeApprops @SBShear @HuffingtonPost Shew. That was,fear
1414,"Update: I have yet to hang out with @MisElizaJane, but I'm still hopeful!",joy
905,So when I try I fail... and when I don't try... I still fail... #confused and #lost,sadness
3378,And I cried in front of my guy last night. And it's just been a horrible week but it's only for a week,fear
1906,@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,joy
5223,wants to be sunbathin!!,neutral
3968,@zavierdaniels had to snap going crazy 😭😭,anger
2922,@mikebairdMP @AndrewConstance @nswtaxi how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated,fear
3709,@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger
77,#HRmanagement must discourage the expediency factor from encroaching on the rolling out of a credible #workplaceviolenceprevention policy.,sadness
4364,bows are world of tank creats rubberbath sting weeks of,anger
436,Fun tidbit: You can fall asleep on someone while dancing. #blues #latenight,sadness
3360,An absolutely dire first half and I can't recall a shot on target. \n\nAgainst Accrington Stanley.,fear
378,Bare videos online but does anyone get rehabilitated? Does anyone actually get help for their affliction? Or do we jut get twitter videos.,sadness
1628,i'm doing laundry and watching that 70's show with a bunch of strangers.  #birthday #to #me,joy
126,Condolences to the  JC and the Georges family.. #sad,sadness
5189,"Today isn't going the way I planned.  Early lunchbreak &amp; I may not be back til Mon. Weekend gonna be fun with friends, tho.",neutral
4438,Egyptian officials expressed frustration and outrage over the Obama/Hillary administration’s support of the Muslim Brotherhood,anger
1503,"You must be knowing #blithe means (adj.)  Happy, cheerful.",joy
5802,@whatthelillyyo we just missd each otha again! I was at disney all day YESTERday!,neutral
1127,@EBled2 Great to have you as our tournament chair and award was #serious,sadness
652,The voice is all about Miley and Alicia this year. No longer about the contestants. #sad @thevoice,sadness
1203,Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch 🙈 soo cute 🐺,joy
3842,@fluffysoftlouis no no. I insist that you give me your best insult first,anger
1126,Remember your journey is unique! Don't get discouraged because you're comparing your journey to someone else's. You will get there!,sadness
1245,@globemartyk 'drunken patroons' make this whole situation much more jovial though.,joy
630,@TheCatCampbell I too am Ravenclaw. #sadness #shouldhavebeenhufflepuff,sadness
4179,@PuseLepuru it's the irritation of not having found the corpse,anger
867,@V_of_Europe @ckolacia MSM relentlessly saying DT can't win to: depress GOP turnout &amp; provide cover 4 stolen election!,sadness
2289,It's Thursday which means it's Grey's day #TGIT,joy
5678,I found out thro mama,neutral
2978,Not setting an alarm to nap &gt;&gt;,fear
4625,I'm not use to getting up early asf this shit goin irritate me.,anger
708,"@FatedDancer ~together.' Hermione  lowered her voice slightly, sounding somewhat  bitter, perhaps even  rueful. 'That would only get you~",sadness
4367,Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
5118,@furrytigerkitty http://twitpic.com/66r0u - uh wait...i thought this was the 29th...tonight,neutral
1657,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious,joy
2467,First College Math Test tomorrow,fear
302,"@Nataliem55 sadly, war has often been the factor that jump starts US economic growth",sadness
4700,i'll get my revenge soon,anger
4591,@TzumiXIV huff puff,anger
732,"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",sadness
1907,"Ooh #hygge, candles, jasmine tea &amp; #GBBO #happy",joy
4335,@RVAGameBreak @GAHSBasketball @GAJagsFootball  \nGo Jags!!🐆 I think we have a good shot of beating Deep Run tomorrow! #revenge,anger
3614,Nahhhhhh @konanplaydirty snap story has got me bussing up 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,anger
1124,So blend the waters lie\nThere shrines and free-  The melancholy waters lie\nNo rays from out the dull tide-  As if the vine,sadness
1943,"@Spacekatgal @outmagazine Its okay to be trans just rejoice with the trans in the trans way. By the way it's not your business, so why care?",joy
